0,1,2,3
2025-04-21 20:28:58.576084+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.576379+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.614533+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.714079+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.994721+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.694810+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.695256+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.714791+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.715141+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.715518+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.736803+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.737175+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.795431+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.795822+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.796175+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:29:00.796473+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:00.796771+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:00.797074+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:00.835324+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:00.893260+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:01.876064+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:01.894555+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:01.915953+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:01.973847+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:03.393928+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:04.193985+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:05.035454+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:05.754140+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:06.015434+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:29:06.015827+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:29:06.054717+00:00,KXBTC-25APR2117-B87250,82,77
2025-04-21 20:29:06.055111+00:00,KXBTC-25APR2117-B87250,82,77
2025-04-21 20:29:06.076597+00:00,KXBTC-25APR2117-B87250,82,77
2025-04-21 20:29:06.076965+00:00,KXBTC-25APR2117-B87250,82,77
2025-04-21 20:29:06.135566+00:00,KXBTC-25APR2117-B87250,82,77
2025-04-21 20:29:06.135951+00:00,KXBTC-25APR2117-B87250,82,77
2025-04-21 20:29:06.138005+00:00,KXBTC-25APR2117-B87250,82,77
2025-04-21 20:29:06.154200+00:00,KXBTC-25APR2117-B87250,82,77
2025-04-21 20:29:06.154518+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.194601+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.235517+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.235990+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.255074+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.255437+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.275354+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.275790+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.276189+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.276586+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.354593+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.356191+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.356500+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.356801+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.357100+00:00,KXBTC-25APR2117-B87250,82,78
2025-04-21 20:29:06.357398+00:00,KXBTC-25APR2117-B87250,82,78
